date,hippo,course,cheval,jockey,cote,probabilite_top3,prediction,realite
2016-10-30,Mauquenchy,13,Chambord,A. Garandeau,0.0,0.9939561386610191,1,0
2018-07-29,L'Isle-sur-La Sorgue,12,First de Nîmes,N. Julien,0.0,0.9915144598618031,1,0
2022-04-11,Le Croisé-Laroche,12,Honora Ducale,A. Collette,16.0,0.05679326897293164,0,0
2016-01-23,Dortmund,9,Ebeltoft,V. Schiergen,2.3,0.8358780182577609,1,1
2021-06-28,Le Croisé-Laroche,10,Echec et Mat,R. Derieux,34.0,0.05333263717000496,0,0
2018-08-14,Pornichet,14,Flamme Vive,P. Tijou,2.6,0.6887903193954876,1,1
2023-03-16,Aby,8,Knight Moves,T. Uhrberg,0.0,0.9955263379664746,1,0
2019-04-28,Reims,14,Feeling des Angles,C. Gillet,33.0,0.0847387588789471,0,0
2015-04-05,Lisieux,18,Violette du Bois,V. Hébert,20.0,0.09264762803078258,0,0
2014-09-09,Trieste,12,Palmarivatekihova,Mme C. Nardo,0.0,0.9999833909956165,1,1
2023-09-28,Meknes,14,KAMEL SIDI HRAZEM,AB. BOUKHARSSA,0.0,0.9998271349017024,1,0
2022-01-06,Aby,10,T.J.,C. Söderström,0.0,0.9998901044518967,1,0
2017-10-01,Saint-Omer,12,Dragon du Bourg,A. Muidebled,0.0,0.9972003435911786,1,0
2023-08-23,Tongres,9,Hold Up Pont Royal,N. Vervloet,6.2,0.09931385801096226,0,1
2019-12-02,Leangen,10,Hr. Ford,Mme T. Kleveland,0.0,0.9995323612701357,1,0
2015-05-03,Dielsdorf,10,Nightdance Paolo,C. Lheureux,0.0,0.9998669923894995,1,0
2023-02-12,Vire,15,Kylebeau du Luot,G. Hérard,0.0,0.9888109846819728,1,0
2020-03-09,Eskilstuna,14,Metallica I.R.,LA. Söderholm,0.0,0.9999916820367172,1,0
2022-06-12,Bjerke,15,N.Y. Embrasse Moi,MT. Gundersen,0.0,0.9999632267799591,1,0
2022-10-07,Compiègne,9,Barfleur,O. D' Andigné,6.0,0.04483951133967553,0,0
2019-12-27,Wolverhampton,11,Angel Force,T. Ladd,0.0,0.99990938510867,1,0
2015-11-07,Meknes,15,Fath Bs,Z. Madihi,0.0,0.9999411270795535,1,0
2014-11-01,Durtal,14,Sundown Kar,Mlle M. Plat,0.0,0.9675025783890961,1,1
2015-04-17,Marseille-Borély,12,Molesne Chop,F. Forési,11.0,0.10070053022567492,0,0
2020-02-08,El Jadida,11,Wald Nass,A. Moughat,0.0,0.9999515393818418,1,1
2021-09-19,Vire,14,Hautain,V. Lebarque,3.5,0.14514482282260827,0,1
2016-05-20,Laval,16,Cobra Ar Carac,V. Gouin,11.0,0.08802377692828413,0,1
2021-10-19,Avenches,8,Livi Ohio H M,M. Welti,29.0,0.03730257873543942,0,1
2014-12-28,Deauville,16,Texas Spirit,E. Hardouin,32.0,0.11453534166297581,0,0
2014-02-08,Cagnes-sur-Mer,13,Gloss,S. Pasquier,18.0,0.33314181732422127,0,0
2021-06-01,Follonica,7,Aikidoka,F. Dettori,0.0,0.9999051494510758,1,1
2017-03-12,Padoue,8,Parker Om,M. Basile,0.0,0.9999910299377741,1,0
2018-05-03,Aby,10,My Little Sparrow,T. Uhrberg,0.0,0.9999876530151406,1,1
2015-01-04,Baléares - Mao,7,Unça,JA. Gardes Montanes,0.0,0.9999677101885212,1,0
2023-07-07,Lindesberg,13,Guldhagens Mary,T. Horpestad,0.0,0.9996826183918184,1,0
2023-08-18,Bollnas,15,Haga Modde,H. Persson,0.0,0.9846396205387342,1,0
2022-09-02,Fairview,6,Never Ending Rain,C. Habib,3.7,0.13054745146835647,0,1
2023-10-26,Meknes,12,WARTESAL,AA. ARROMALI,0.0,0.9996703689451323,1,0
2015-07-12,Chinon,16,Viking de l'Ormeau,H. Sionneau,0.0,0.9595881275069712,1,0
2018-08-16,La Teste,7,Farnèse de Lagarde,I. Mendizabal,8.0,0.12434610174569466,0,1
2017-07-31,Ostende,10,Foley Boko,T. De Rijker,0.0,0.9959394741523673,1,0
2014-07-20,Bratislava,14,Cheeky Chappie,Mme Z. Vokalkova,0.0,0.9998678172646406,1,0
2017-02-02,Albenga,9,Tre Stelle,E. Loccisano,0.0,0.9999752832518499,1,1
2021-08-20,Musselburgh,6,Empirestateofmind,B. Garritty,0.0,0.9996722117483589,1,1
2021-11-10,Saint-Cloud,13,Garrick Harmony,C. Lecoeuvre,9.5,0.02566470231021496,0,0
2022-05-31,Eskilstuna,9,Mayha,K. Eriksson,0.0,0.999875618340844,1,1
2017-11-06,Paris-Vincennes,7,Ecu Pierji,M. Mottier,1.7,0.8974577794893179,1,1
2014-10-26,Sha Tin,14,California Memory,M. Chadwick,0.0,0.9999112539682848,1,0
2021-08-04,Bro Park,9,Cr Tahfeem,Mme U. Holmquist,0.0,0.9842286828506004,1,0
2023-11-04,Straubing,7,First Choice,Mme M. Bock,0.0,0.9655259195903781,1,0
2016-09-06,Vire,16,Troll Thourjan,E. Nicolaysen,33.0,0.13190599051441304,0,0
2018-08-23,Chepstow,10,Lady Aria,Mlle H. Turner,0.0,0.9999485362585304,1,1
